================================================================================
UDP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
10.11.11.179:61251         <-> 10.11.11.11:53                   1 78 bytes        3 234 bytes       4 312 bytes   107.378522000         7.6586
10.11.11.179:62690         <-> 10.11.11.11:53                   1 131 bytes       3 249 bytes       4 380 bytes   107.384079000         3.6443
10.11.11.11:61708          <-> 216.239.38.10:53                 2 208 bytes       2 176 bytes       4 384 bytes   109.968646000         4.0893
10.11.11.179:61028         <-> 10.11.11.11:53                   1 91 bytes        3 225 bytes       4 316 bytes   110.274840000         3.7833
10.11.11.179:62772         <-> 10.11.11.11:53                   1 139 bytes       3 249 bytes       4 388 bytes   110.834641000         3.2186
10.11.11.179:56064         <-> 10.11.11.11:53                   1 100 bytes       3 204 bytes       4 304 bytes   111.080654000         4.0132
10.11.11.179:54033         <-> 10.11.11.11:53                   1 173 bytes       3 237 bytes       4 410 bytes   112.517162000         6.6437
10.11.11.179:51822         <-> 10.11.11.11:53                   1 78 bytes        3 234 bytes       4 312 bytes   117.363782000        11.9612
10.11.11.179:53149         <-> 10.11.11.11:53                   1 94 bytes        3 234 bytes       4 328 bytes   117.365425000         7.9537
10.11.11.179:64471         <-> 10.11.11.11:53                   1 94 bytes        3 234 bytes       4 328 bytes   117.365539000         7.9534
10.11.11.179:60011         <-> 10.11.11.11:53                   1 205 bytes       3 261 bytes       4 466 bytes   117.445704000         3.7209
10.11.11.179:59327         <-> 10.11.11.11:53                   1 213 bytes       3 273 bytes       4 486 bytes   117.445824000         7.8232
10.11.11.179:52333         <-> 10.11.11.11:53                   2 184 bytes       2 138 bytes       4 322 bytes   119.208778000         0.0031
10.11.11.179:62552         <-> 10.11.11.11:53                   1 134 bytes       3 210 bytes       4 344 bytes   119.309914000         3.9197
10.11.11.195:63592         <-> 10.11.11.11:53                   1 99 bytes        3 249 bytes       4 348 bytes   123.046047000         3.3056
10.11.11.195:52578         <-> 10.11.11.11:53                   1 95 bytes        3 237 bytes       4 332 bytes   123.357627000         3.9417
10.11.11.195:53557         <-> 10.11.11.11:53                   1 160 bytes       3 240 bytes       4 400 bytes   123.358697000         3.9345
10.11.11.195:57409         <-> 10.11.11.11:53                   1 152 bytes       3 216 bytes       4 368 bytes   123.359937000         3.9445
10.11.11.195:53365         <-> 10.11.11.11:53                   1 96 bytes        3 240 bytes       4 336 bytes   123.566243000         3.7379
10.11.11.179:51621         <-> 10.11.11.11:53                   1 93 bytes        3 231 bytes       4 324 bytes   123.606100000         3.6872
10.11.11.179:64422         <-> 10.11.11.11:53                   1 132 bytes       3 270 bytes       4 402 bytes   123.745412000         3.5588
10.11.11.179:50945         <-> 10.11.11.11:53                   1 137 bytes       3 228 bytes       4 365 bytes   125.565849000         3.7569
10.11.11.11:60253          <-> 216.239.38.10:53                 2 233 bytes       2 201 bytes       4 434 bytes   127.268375000         5.1004
10.11.11.179:59670         <-> 10.11.11.11:53                   1 91 bytes        3 225 bytes       4 316 bytes   127.372676000         3.9854
10.11.11.179:53013         <-> 10.11.11.11:53                   1 143 bytes       3 237 bytes       4 380 bytes   127.382049000         3.9782
10.11.11.179:62942         <-> 10.11.11.11:53                   1 187 bytes       3 252 bytes       4 439 bytes   127.414180000         3.9800
10.11.11.179:51367         <-> 10.11.11.11:53                   1 144 bytes       3 255 bytes       4 399 bytes   128.477705000         3.8912
10.11.11.179:53589         <-> 10.11.11.11:53                   1 141 bytes       3 255 bytes       4 396 bytes   128.670644000         3.6993
10.11.11.195:58466         <-> 10.11.11.11:53                   1 168 bytes       3 264 bytes       4 432 bytes   129.559150000         3.8141
10.11.11.179:52830         <-> 10.11.11.11:53                   1 128 bytes       3 261 bytes       4 389 bytes   135.861063000         3.6039
10.11.11.179:54737         <-> 10.11.11.11:53                   1 153 bytes       3 267 bytes       4 420 bytes   139.612086000         3.9091
10.11.11.179:57134         <-> 10.11.11.11:53                   1 98 bytes        3 246 bytes       4 344 bytes   139.644216000         3.8955
10.11.11.217:54144         <-> 10.11.11.11:53                   1 85 bytes        3 207 bytes       4 292 bytes   140.936326000         3.6533
10.11.11.217:51721         <-> 10.11.11.11:53                   1 90 bytes        3 222 bytes       4 312 bytes   141.327416000         3.2066
10.11.11.179:61707         <-> 10.11.11.11:53                   1 94 bytes        3 234 bytes       4 328 bytes   143.749977000         3.8327
10.11.11.179:56423         <-> 10.11.11.11:53                   1 193 bytes       3 258 bytes       4 451 bytes   143.920037000         3.6588
10.11.11.217:55304         <-> 10.11.11.11:53                   1 94 bytes        3 234 bytes       4 328 bytes   145.341422000         3.2501
10.11.11.217:57684         <-> 10.11.11.11:53                   1 119 bytes       3 237 bytes       4 356 bytes   145.422059000         3.1742
10.11.11.179:60557         <-> 10.11.11.11:53                   1 120 bytes       3 234 bytes       4 354 bytes   148.874086000         3.7781
10.11.11.179:62914         <-> 10.11.11.11:53                   1 124 bytes       3 219 bytes       4 343 bytes   152.790786000         7.9712
10.11.11.179:49915         <-> 10.11.11.11:53                   1 152 bytes       3 264 bytes       4 416 bytes   155.934385000         3.8136
10.11.11.11:61999          <-> 69.171.239.12:53                 2 705 bytes       2 181 bytes       4 886 bytes   156.672787000        79.1238
10.11.11.203:51859         <-> 10.11.11.11:53                   1 91 bytes        3 225 bytes       4 316 bytes   158.416623000         3.5687
10.11.11.217:52924         <-> 10.11.11.11:53                   1 165 bytes       3 234 bytes       4 399 bytes   164.471181000         3.4839
10.11.11.217:50968         <-> 10.11.11.11:53                   1 107 bytes       3 225 bytes       4 332 bytes   164.925645000         4.0378
10.11.11.217:55401         <-> 10.11.11.11:53                   1 196 bytes       3 219 bytes       4 415 bytes   164.927331000         4.1222
10.11.11.217:62565         <-> 10.11.11.11:53                   1 119 bytes       3 240 bytes       4 359 bytes   164.929180000         3.9421
10.11.11.217:49498         <-> 10.11.11.11:53                   1 128 bytes       3 228 bytes       4 356 bytes   169.136846000         7.8432
10.11.11.217:60024         <-> 10.11.11.11:53                   1 130 bytes       3 234 bytes       4 364 bytes   169.140608000         7.8395
10.11.11.217:64691         <-> 10.11.11.11:53                   1 94 bytes        3 234 bytes       4 328 bytes   172.156583000         3.8095
10.11.11.217:64150         <-> 10.11.11.11:53                   1 127 bytes       3 264 bytes       4 391 bytes   172.166220000         3.8056
10.11.11.195:61152         <-> 10.11.11.11:53                   1 81 bytes        3 243 bytes       4 324 bytes   177.228793000         3.8019
10.11.11.200:56527         <-> 10.11.11.11:53                   1 145 bytes       3 243 bytes       4 388 bytes   182.473295000         3.6386
10.11.11.94:51830          <-> 239.255.255.250:1900             0 0 bytes         4 872 bytes       4 872 bytes   182.904903000         3.0050
10.11.11.200:57501         <-> 10.11.11.11:53                   1 148 bytes       3 216 bytes       4 364 bytes   186.577895000         3.5944
10.11.11.217:57140         <-> 10.11.11.11:53                   1 139 bytes       3 255 bytes       4 394 bytes   187.190329000         3.9862
10.11.11.200:62402         <-> 10.11.11.11:53                   1 152 bytes       3 264 bytes       4 416 bytes   195.565510000         3.7320
10.11.11.203:57206         <-> 10.11.11.11:53                   1 90 bytes        3 222 bytes       4 312 bytes   204.694242000         3.9274
10.11.11.217:55664         <-> 10.11.11.11:53                   1 90 bytes        3 222 bytes       4 312 bytes   212.264054000         3.3020
10.11.11.200:55827         <-> 10.11.11.11:53                   1 91 bytes        3 225 bytes       4 316 bytes   215.754009000         3.8151
10.11.11.200:52117         <-> 10.11.11.11:53                   1 178 bytes       3 213 bytes       4 391 bytes   216.035150000         3.5385
10.11.11.200:49755         <-> 10.11.11.11:53                   1 137 bytes       3 219 bytes       4 356 bytes   216.035444000         3.6417
10.11.11.200:63085         <-> 10.11.11.11:53                   1 253 bytes       3 228 bytes       4 481 bytes   216.036975000         3.5690
10.11.11.200:51218         <-> 10.11.11.11:53                   1 137 bytes       3 219 bytes       4 356 bytes   216.039379000         3.5317
10.11.11.200:55101         <-> 10.11.11.11:53                   1 265 bytes       3 234 bytes       4 499 bytes   216.054923000         3.5186
10.11.11.200:52092         <-> 10.11.11.11:53                   1 138 bytes       3 252 bytes       4 390 bytes   216.107867000         3.4685
10.11.11.200:65170         <-> 10.11.11.11:53                   1 169 bytes       3 243 bytes       4 412 bytes   219.774040000         3.8597
10.11.11.217:60297         <-> 10.11.11.11:53                   1 109 bytes       3 231 bytes       4 340 bytes   219.850671000        11.8568
10.11.11.200:58291         <-> 10.11.11.11:53                   1 132 bytes       3 252 bytes       4 384 bytes   219.968629000         3.7202
10.11.11.200:59533         <-> 10.11.11.11:53                   1 213 bytes       3 255 bytes       4 468 bytes   221.342497000         3.2920
10.11.11.203:58114         <-> 10.11.11.11:53                   1 89 bytes        3 219 bytes       4 308 bytes   234.676822000         3.3409
10.11.11.203:62667         <-> 10.11.11.11:53                   1 89 bytes        3 219 bytes       4 308 bytes   278.746660000         3.8859
10.11.11.203:59522         <-> 10.11.11.11:53                   1 88 bytes        3 216 bytes       4 304 bytes   308.675422000         3.3613
10.11.11.203:64479         <-> 10.11.11.11:53                   1 88 bytes        3 216 bytes       4 304 bytes   338.082094000         3.3084
10.11.11.203:54958         <-> 10.11.11.11:53                   1 89 bytes        3 219 bytes       4 308 bytes   442.429793000         3.3822
10.11.11.203:58609         <-> 10.11.11.11:53                   1 88 bytes        3 216 bytes       4 304 bytes   546.859264000         2.3658
10.11.11.203:55150         <-> 10.11.11.11:53                   1 89 bytes        3 219 bytes       4 308 bytes   993.034854000         3.3540
10.11.11.179:65101         <-> 10.11.11.11:53                   1 409 bytes       2 148 bytes       3 557 bytes     4.138568000         0.9813
10.11.11.179:64022         <-> 10.11.11.11:53                   1 169 bytes       2 182 bytes       3 351 bytes     4.151148000         1.0054
10.11.11.179:51544         <-> 10.11.11.11:53                   1 170 bytes       2 184 bytes       3 354 bytes     4.151368000         1.0112
10.11.11.94:56239          <-> 10.11.11.11:53                   1 91 bytes        2 150 bytes       3 241 bytes    49.324095000         1.6256
10.11.11.94:47392          <-> 10.11.11.11:53                   1 90 bytes        2 148 bytes       3 238 bytes    49.324241000         3.8913
10.11.11.179:60620         <-> 10.11.11.11:53                   1 122 bytes       2 170 bytes       3 292 bytes   114.191339000         2.9217
10.11.11.145:35962         <-> 8.8.8.8:53                       1 104 bytes       1 72 bytes        2 176 bytes     0.000000000         0.0179
10.11.11.179:51402         <-> 10.11.11.11:53                   1 170 bytes       1 92 bytes        2 262 bytes     4.151564000         0.0858
10.11.11.11:60983          <-> 69.192.7.31:53                   1 113 bytes       1 97 bytes        2 210 bytes     7.544470000         0.0245
10.11.11.11:62435          <-> 193.108.88.128:53                1 160 bytes       1 114 bytes       2 274 bytes     7.544629000         0.1696
10.11.11.11:63102          <-> 193.108.88.128:53                1 139 bytes       1 95 bytes        2 234 bytes     7.544741000         0.1693
10.11.11.11:61207          <-> 17.253.207.1:53                  1 146 bytes       1 96 bytes        2 242 bytes     7.544847000         0.0243
10.11.11.11:63315          <-> 192.36.148.17:53                 1 906 bytes       1 70 bytes        2 976 bytes     8.561597000         0.0679
10.11.11.11:62320          <-> 216.239.38.10:53                 1 114 bytes       1 98 bytes        2 212 bytes     9.567723000         0.0293
10.11.11.11:61511          <-> 84.53.139.129:53                 1 151 bytes       1 107 bytes       2 258 bytes    11.595607000         0.0594
10.11.11.11:62599          <-> 184.85.248.128:53                1 179 bytes       1 115 bytes       2 294 bytes    11.595754000         0.1730
10.11.11.11:63183          <-> 96.7.49.129:53                   1 245 bytes       1 117 bytes       2 362 bytes    11.595873000         0.0835
10.11.11.11:62058          <-> 204.237.204.118:53               1 109 bytes       1 93 bytes        2 202 bytes    12.610588000         0.0194
10.11.11.11:63037          <-> 199.4.138.53:53                  1 1358 bytes       1 84 bytes        2 1442 bytes    13.623521000         0.0724
10.11.11.200:64488         <-> 10.11.11.11:53                   1 195 bytes       1 128 bytes       2 323 bytes    18.870050000         0.1012
10.11.11.200:52155         <-> 10.11.11.11:53                   1 107 bytes       1 91 bytes        2 198 bytes    18.973439000         0.0002
10.11.11.200:52157         <-> 10.11.11.11:389                  1 237 bytes       1 216 bytes       2 453 bytes    18.978029000         0.0003
10.11.11.200:52158         <-> 10.11.11.11:389                  1 237 bytes       1 216 bytes       2 453 bytes    19.028742000         0.0002
10.11.11.200:62054         <-> 10.11.11.11:53                   1 185 bytes       1 118 bytes       2 303 bytes    19.079095000         0.0001
10.11.11.200:62055         <-> 10.11.11.11:389                  1 237 bytes       1 216 bytes       2 453 bytes    19.081418000         0.0002
10.11.11.200:123           <-> 10.11.11.11:123                  1 110 bytes       1 110 bytes       2 220 bytes    19.266924000         0.0011
10.11.11.200:62097         <-> 10.11.11.11:53                   1 211 bytes       1 133 bytes       2 344 bytes    20.819046000         0.0002
10.11.11.200:59180         <-> 10.11.11.11:53                   1 180 bytes       1 102 bytes       2 282 bytes    20.822270000         0.0002
10.11.11.200:54188         <-> 10.11.11.11:53                   1 92 bytes        1 76 bytes        2 168 bytes    20.972009000         0.0002
10.11.11.200:64095         <-> 10.11.11.11:53                   1 161 bytes       1 83 bytes        2 244 bytes    21.463090000         0.0002
10.11.11.11:63106          <-> 199.249.112.1:53                 1 801 bytes       1 93 bytes        2 894 bytes    21.735351000         0.0171
10.11.11.200:58347         <-> 10.11.11.11:53                   1 159 bytes       1 81 bytes        2 240 bytes    21.738672000         0.0002
10.11.11.11:61887          <-> 199.4.138.53:53                  1 1363 bytes       1 93 bytes        2 1456 bytes    21.752686000         0.0574
10.11.11.200:63226         <-> 10.11.11.11:53                   1 170 bytes       1 92 bytes        2 262 bytes    23.578249000         0.0002
10.11.11.200:49262         <-> 10.11.11.11:53                   1 160 bytes       1 160 bytes       2 320 bytes    23.581012000         0.0010
10.11.11.11:62400          <-> 192.0.36.252:53                  1 455 bytes       1 93 bytes        2 548 bytes    25.791235000         0.0690
10.11.11.200:60554         <-> 10.11.11.11:53                   1 107 bytes       1 91 bytes        2 198 bytes    28.203427000         0.0269
10.11.11.195:57452         <-> 224.0.0.252:5355                 0 0 bytes         2 150 bytes       2 150 bytes    31.430278000        13.0093
10.11.11.195:54971         <-> 224.0.0.252:5355                 0 0 bytes         2 150 bytes       2 150 bytes    31.505677000        13.0065
10.11.11.195:58074         <-> 224.0.0.252:5355                 0 0 bytes         2 150 bytes       2 150 bytes    31.507110000        13.0056
10.11.11.195:55894         <-> 10.11.11.11:53                   1 126 bytes       1 72 bytes        2 198 bytes    34.028051000        11.0446
10.11.11.195:55515         <-> 10.11.11.11:53                   1 76 bytes        1 76 bytes        2 152 bytes    34.402645000        10.6702
10.11.11.11:61234          <-> 131.253.21.2:53                  1 125 bytes       1 88 bytes        2 213 bytes    37.959397000         0.0321
10.11.11.11:62381          <-> 131.253.21.2:53                  1 125 bytes       1 88 bytes        2 213 bytes    37.959528000         0.0323
10.11.11.11:63174          <-> 131.253.21.1:53                  1 125 bytes       1 88 bytes        2 213 bytes    37.959622000         0.0322
10.11.11.11:60995          <-> 131.253.21.1:53                  1 125 bytes       1 88 bytes        2 213 bytes    37.959716000         0.0322
10.11.11.11:62060          <-> 131.253.21.1:53                  1 128 bytes       1 97 bytes        2 225 bytes    37.959806000         0.0319
10.11.11.217:58228         <-> 10.11.11.11:53                   1 72 bytes        1 72 bytes        2 144 bytes    41.672762000        10.4978
10.11.11.217:61929         <-> 10.11.11.11:53                   0 0 bytes         2 150 bytes       2 150 bytes    41.677221000         1.0210
10.11.11.11:60969          <-> 13.107.6.1:53                    1 127 bytes       1 97 bytes        2 224 bytes    42.030636000         0.0386
10.11.11.11:62901          <-> 131.253.33.2:53                  1 107 bytes       1 91 bytes        2 198 bytes    42.030758000         0.0389
10.11.11.11:62754          <-> 13.107.246.2:53                  1 127 bytes       1 97 bytes        2 224 bytes    42.030902000         0.0291
10.11.11.11:63051          <-> 13.107.18.2:53                   1 127 bytes       1 97 bytes        2 224 bytes    42.031026000         0.0293
10.11.11.11:62637          <-> 13.107.49.2:53                   1 127 bytes       1 97 bytes        2 224 bytes    42.031160000         0.0753
10.11.11.11:62052          <-> 17.253.207.1:53                  1 141 bytes       1 93 bytes        2 234 bytes    43.045125000         0.0234
10.11.11.11:63152          <-> 204.237.204.118:53               1 113 bytes       1 97 bytes        2 210 bytes    44.058605000         0.0210
10.11.11.11:62103          <-> 17.253.207.1:53                  1 159 bytes       1 89 bytes        2 248 bytes    44.058715000         0.0207
10.11.11.11:62909          <-> 193.108.88.128:53                1 137 bytes       1 100 bytes       2 237 bytes    44.058861000         0.1656
10.11.11.11:62534          <-> 17.253.207.1:53                  1 146 bytes       1 96 bytes        2 242 bytes    44.058956000         0.0212
10.11.11.11:61327          <-> 69.192.7.133:53                  1 112 bytes       1 96 bytes        2 208 bytes    44.059113000         0.0211
10.11.11.11:62378          <-> 13.107.6.1:53                    1 169 bytes       1 124 bytes       2 293 bytes    45.073104000         0.0343
10.11.11.11:62254          <-> 84.53.139.129:53                 1 137 bytes       1 105 bytes       2 242 bytes    47.100869000         0.0489
10.11.11.11:61249          <-> 17.253.206.8:53                  1 141 bytes       1 93 bytes        2 234 bytes    48.114664000         0.0277
10.11.11.11:62963          <-> 84.53.139.129:53                 1 151 bytes       1 107 bytes       2 258 bytes    48.114811000         0.0498
10.11.11.11:62538          <-> 88.221.81.192:53                 1 109 bytes       1 93 bytes        2 202 bytes    48.114942000         0.0395
10.11.11.94:38411          <-> 10.11.11.11:53                   1 91 bytes        1 75 bytes        2 166 bytes    49.342415000         0.0494
10.11.11.94:41406          <-> 10.11.11.11:53                   1 105 bytes       1 89 bytes        2 194 bytes    49.841700000         0.0002
10.11.11.94:41491          <-> 10.11.11.255:137                 0 0 bytes         2 184 bytes       2 184 bytes    49.851756000        13.0105
10.11.11.11:61501          <-> 69.192.7.15:53                   1 109 bytes       1 93 bytes        2 202 bytes    50.142540000         0.0246
10.11.11.94:57008          <-> 10.11.11.11:53                   1 91 bytes        1 75 bytes        2 166 bytes    50.345085000         0.0002
10.11.11.94:37069          <-> 10.11.11.11:53                   1 105 bytes       1 89 bytes        2 194 bytes    50.840656000         0.0002
10.11.11.94:60416          <-> 10.11.11.11:53                   1 166 bytes       1 88 bytes        2 254 bytes    50.846447000         0.0002
10.11.11.94:36963          <-> 10.11.11.11:53                   1 167 bytes       1 89 bytes        2 256 bytes    50.846621000         0.0001
10.11.11.94:55958          <-> 10.11.11.11:53                   1 165 bytes       1 87 bytes        2 252 bytes    50.847743000         0.0002
10.11.11.94:33145          <-> 10.11.11.11:53                   1 71 bytes        1 71 bytes        2 142 bytes    50.858428000         0.0002
10.11.11.94:46772          <-> 10.11.11.11:53                   1 72 bytes        1 72 bytes        2 144 bytes    50.858655000         0.0001
10.11.11.94:43679          <-> 10.11.11.11:53                   1 70 bytes        1 70 bytes        2 140 bytes    50.858767000         0.0001
10.11.11.94:34540          <-> 10.11.11.11:53                   1 71 bytes        1 71 bytes        2 142 bytes    51.860416000         0.0002
10.11.11.94:57777          <-> 10.11.11.11:53                   1 72 bytes        1 72 bytes        2 144 bytes    51.860640000         0.0001
10.11.11.94:55113          <-> 10.11.11.11:53                   1 70 bytes        1 70 bytes        2 140 bytes    51.860774000         0.0001
10.11.11.94:33844          <-> 10.11.11.11:53                   1 72 bytes        1 72 bytes        2 144 bytes    52.861486000         0.0002
10.11.11.94:38862          <-> 10.11.11.11:53                   1 71 bytes        1 71 bytes        2 142 bytes    52.861638000         0.0001
10.11.11.94:46228          <-> 10.11.11.11:53                   1 70 bytes        1 70 bytes        2 140 bytes    52.861708000         0.0001
10.11.11.11:61325          <-> 216.239.38.10:53                 1 101 bytes       1 85 bytes        2 186 bytes    53.187042000         0.0284
10.11.11.94:44071          <-> 10.11.11.11:53                   1 71 bytes        1 71 bytes        2 142 bytes    53.865241000         0.0003
10.11.11.94:52970          <-> 10.11.11.11:53                   1 72 bytes        1 72 bytes        2 144 bytes    53.865370000         0.0001
10.11.11.94:45937          <-> 10.11.11.11:53                   1 70 bytes        1 70 bytes        2 140 bytes    53.865479000         0.0001
10.11.11.94:48608          <-> 10.11.11.11:53                   1 71 bytes        1 71 bytes        2 142 bytes    54.864382000         0.0002
10.11.11.94:35637          <-> 10.11.11.11:53                   1 72 bytes        1 72 bytes        2 144 bytes    54.864637000         0.0001
10.11.11.94:49683          <-> 10.11.11.11:53                   1 70 bytes        1 70 bytes        2 140 bytes    54.864772000         0.0001
10.11.11.145:32766         <-> 8.8.8.8:53                       1 104 bytes       1 72 bytes        2 176 bytes    59.041325000         0.0268
10.11.11.195:56637         <-> 10.11.11.11:53                   1 87 bytes        1 76 bytes        2 163 bytes    59.143298000         0.1249
10.11.11.217:123           <-> 17.253.2.125:123                 1 90 bytes        1 90 bytes        2 180 bytes    61.187420000         0.0210
10.11.11.217:123           <-> 17.253.6.125:123                 1 90 bytes        1 90 bytes        2 180 bytes    61.212632000         0.0375
10.11.11.217:123           <-> 17.253.2.253:123                 1 90 bytes        1 90 bytes        2 180 bytes    61.253475000         0.0255
10.11.11.11:61354          <-> 17.253.207.1:53                  1 140 bytes       1 93 bytes        2 233 bytes    61.298599000         0.0202
10.11.11.11:63123          <-> 184.85.248.128:53                1 168 bytes       1 104 bytes       2 272 bytes    65.352262000         0.1748
10.11.11.11:62426          <-> 17.253.207.1:53                  1 128 bytes       1 85 bytes        2 213 bytes    66.366099000         0.0208
10.11.11.11:61912          <-> 17.253.217.53:53                 1 114 bytes       1 98 bytes        2 212 bytes    68.394094000         0.0644
10.11.11.203:50722         <-> 10.11.11.11:53                   1 195 bytes       1 128 bytes       2 323 bytes    68.628379000         0.0027
10.11.11.203:53013         <-> 10.11.11.11:53                   1 107 bytes       1 91 bytes        2 198 bytes    68.633731000         0.0002
10.11.11.203:53015         <-> 10.11.11.11:389                  1 237 bytes       1 215 bytes       2 452 bytes    68.637657000         0.0003
10.11.11.203:61340         <-> 10.11.11.11:53                   1 185 bytes       1 118 bytes       2 303 bytes    68.734397000         0.0002
10.11.11.203:61341         <-> 10.11.11.11:389                  1 237 bytes       1 215 bytes       2 452 bytes    68.737484000         0.0002
10.11.11.11:63139          <-> 198.51.45.72:53                  1 233 bytes       1 87 bytes        2 320 bytes    69.408218000         0.0223
10.11.11.11:62941          <-> 17.253.207.1:53                  1 273 bytes       1 95 bytes        2 368 bytes    69.408345000         0.0226
10.11.11.11:63252          <-> 193.108.88.128:53                1 136 bytes       1 100 bytes       2 236 bytes    70.422026000         0.1664
10.11.11.203:58052         <-> 10.11.11.11:53                   1 211 bytes       1 133 bytes       2 344 bytes    70.482052000         0.0002
10.11.11.203:57265         <-> 10.11.11.11:53                   1 180 bytes       1 102 bytes       2 282 bytes    70.484545000         0.0001
10.11.11.203:64095         <-> 10.11.11.11:53                   1 92 bytes        1 76 bytes        2 168 bytes    70.622791000         0.0002
10.11.11.203:50074         <-> 10.11.11.11:53                   1 159 bytes       1 81 bytes        2 240 bytes    71.423610000         0.0002
10.11.11.203:51165         <-> 10.11.11.11:53                   1 161 bytes       1 83 bytes        2 244 bytes    71.489366000         0.0002
10.11.11.203:123           <-> 10.11.11.11:123                  1 110 bytes       1 110 bytes       2 220 bytes    73.080987000         0.0010
10.11.11.203:62770         <-> 10.11.11.11:53                   1 169 bytes       1 91 bytes        2 260 bytes    73.384811000         0.0002
10.11.11.203:58388         <-> 10.11.11.11:53                   1 159 bytes       1 159 bytes       2 318 bytes    73.387925000         0.0010
10.11.11.11:62273          <-> 205.251.196.28:53                1 300 bytes       1 99 bytes        2 399 bytes    73.463931000         0.0257
10.11.11.11:62160          <-> 205.251.196.100:53               1 366 bytes       1 101 bytes       2 467 bytes    73.464059000         0.0246
10.11.11.11:62514          <-> 205.251.194.129:53               1 263 bytes       1 86 bytes        2 349 bytes    77.519910000         0.0589
10.11.11.11:62694          <-> 205.251.194.129:53               1 264 bytes       1 88 bytes        2 352 bytes    77.520061000         0.0898
10.11.11.11:61174          <-> 198.51.44.8:53                   1 220 bytes       1 85 bytes        2 305 bytes    77.520178000         0.0341
10.11.11.11:61670          <-> 96.7.49.64:53                    1 105 bytes       1 89 bytes        2 194 bytes    77.520307000         0.0856
10.11.11.11:61671          <-> 216.239.38.10:53                 1 104 bytes       1 88 bytes        2 192 bytes    77.520599000         0.0373
10.11.11.11:62811          <-> 198.51.44.8:53                   1 247 bytes       1 79 bytes        2 326 bytes    77.520711000         0.0336
10.11.11.11:62834          <-> 104.156.80.32:53                 1 184 bytes       1 96 bytes        2 280 bytes    77.520827000         0.0334
10.11.11.94:48087          <-> 10.11.11.11:53                   1 90 bytes        1 74 bytes        2 164 bytes    78.091944000         0.0263
10.11.11.94:41856          <-> 10.11.11.11:53                   1 96 bytes        1 80 bytes        2 176 bytes    78.122210000         0.0001
10.11.11.94:39033          <-> 10.11.11.11:53                   1 86 bytes        1 70 bytes        2 156 bytes    78.204172000         3.4162
10.11.11.94:51376          <-> 10.11.11.11:53                   1 126 bytes       1 80 bytes        2 206 bytes    78.204467000         0.0001
10.11.11.94:39238          <-> 10.11.11.11:53                   1 349 bytes       1 75 bytes        2 424 bytes    78.469246000         3.1526
10.11.11.94:41294          <-> 10.11.11.11:53                   1 184 bytes       1 84 bytes        2 268 bytes    78.523546000         3.1317
10.11.11.11:63231          <-> 184.85.248.128:53                1 144 bytes       1 107 bytes       2 251 bytes    78.533835000         0.1679
10.11.11.94:43280          <-> 10.11.11.11:53                   1 97 bytes        1 70 bytes        2 167 bytes    79.205853000         2.4143
10.11.11.94:49618          <-> 10.11.11.11:53                   1 360 bytes       1 75 bytes        2 435 bytes    79.470506000         2.1512
10.11.11.94:33266          <-> 10.11.11.11:53                   1 195 bytes       1 84 bytes        2 279 bytes    79.525461000         2.1295
10.11.11.94:49101          <-> 10.11.11.11:53                   1 97 bytes        1 70 bytes        2 167 bytes    80.208139000         1.4121
10.11.11.94:48027          <-> 10.11.11.11:53                   1 360 bytes       1 75 bytes        2 435 bytes    80.473326000         1.1484
10.11.11.94:58775          <-> 10.11.11.11:53                   1 195 bytes       1 84 bytes        2 279 bytes    80.528108000         1.1270
10.11.11.94:40848          <-> 10.11.11.11:53                   1 97 bytes        1 70 bytes        2 167 bytes    81.209598000         0.4107
10.11.11.94:53505          <-> 10.11.11.11:53                   1 360 bytes       1 75 bytes        2 435 bytes    81.474882000         0.1469
10.11.11.94:42893          <-> 10.11.11.11:53                   1 195 bytes       1 84 bytes        2 279 bytes    81.530001000         0.1252
10.11.11.11:61000          <-> 216.239.38.10:53                 1 116 bytes       1 100 bytes       2 216 bytes    81.575863000         0.0366
10.11.11.11:61704          <-> 205.251.192.179:53               1 265 bytes       1 88 bytes        2 353 bytes    81.576101000         0.0381
10.11.11.11:61050          <-> 205.251.196.125:53               1 301 bytes       1 100 bytes       2 401 bytes    81.576204000         0.0394
10.11.11.11:62018          <-> 205.251.197.152:53               1 300 bytes       1 99 bytes        2 399 bytes    81.576307000         0.0395
10.11.11.11:62762          <-> 216.239.38.10:53                 1 97 bytes        1 81 bytes        2 178 bytes    81.576472000         0.0435
10.11.11.11:63129          <-> 216.239.38.10:53                 1 334 bytes       1 94 bytes        2 428 bytes    81.576555000         0.0450
10.11.11.11:62361          <-> 205.251.195.160:53               1 297 bytes       1 130 bytes       2 427 bytes    81.576663000         0.0781
10.11.11.94:33576          <-> 10.11.11.11:53                   1 86 bytes        1 70 bytes        2 156 bytes    82.211125000         0.0002
10.11.11.94:38121          <-> 10.11.11.11:53                   1 349 bytes       1 75 bytes        2 424 bytes    82.475046000         0.0002
10.11.11.94:53567          <-> 10.11.11.11:53                   1 144 bytes       1 84 bytes        2 228 bytes    82.488098000         3.1941
10.11.11.94:41824          <-> 10.11.11.11:53                   1 155 bytes       1 84 bytes        2 239 bytes    83.490565000         2.1915
